1,669,2
1,638,0
1,926,5
1,64,9
1,410,8
2,447,9
2,431,4
2,606,1
3,425,3
3,861,0
3,891,3
4,301,8
4,43,5
4,306,3
5,942,9
5,137,4
5,122,2
5,411,4
5,774,7
6,197,8
6,913,8
6,798,0
6,60,1
6,982,9
7,919,0
8,403,2
8,2,1
8,156,3
8,939,6
9,924,5
10,334,9
10,109,8
10,268,1
10,625,2
11,337,8
11,616,10
11,811,9
11,865,3
12,528,3
13,53,7
13,514,5
14,233,10
14,737,9
14,403,4
14,356,9
15,16,2
15,279,10
16,20,2
16,929,7
16,585,6
17,396,0
17,691,2
17,455,7
18,551,3
18,534,3
19,493,8
20,203,2
20,71,1
20,303,5
21,355,10
21,752,3
21,829,6
22,526,2
22,105,1
22,658,8
23,927,5
24,727,1
24,674,7
24,823,5
24,505,6
25,31,2
25,394,4
25,230,7
25,530,7
25,906,5
26,437,4
26,215,6
26,557,5
27,725,4
27,686,9
27,468,4
27,772,9
27,35,3
28,506,10
28,584,0
28,124,2
29,367,0
29,282,1
29,17,10
30,711,0
31,678,9
32,387,2
32,986,4
32,625,3
33,930,9
33,862,2
33,705,1
33,222,4
33,111,1
34,613,6
34,104,6
34,293,5
35,468,10
35,416,5
35,463,5
35,541,6
35,768,8
36,255,7
37,178,4
37,557,10
37,132,6
38,86,6
38,933,9
38,635,0
38,783,6
39,674,8
39,727,8
40,999,6
40,923,4
40,892,6
40,671,9
40,830,5
41,918,8
41,471,10
41,377,6
41,843,4
42,48,2
42,174,1
42,775,7
42,782,2
42,410,8
43,917,8
43,963,6
43,110,3
43,591,6
44,87,10
44,11,7
45,313,5
45,796,8
45,480,4
46,125,5
46,698,2
46,383,6
47,409,0
48,749,8
48,402,8
48,596,8
49,363,0
49,135,9
50,223,4
50,887,8
50,248,6
50,9,3
50,12,10
51,669,0
51,458,8
51,10,2
51,626,6
51,52,5
52,216,2
52,816,3
53,1000,7
53,386,8
53,184,6
54,378,5
54,704,9
55,758,9
55,855,8
55,234,5
55,389,4
56,521,5
56,978,5
56,777,8
57,108,5
58,683,9
58,397,8
58,338,9
59,350,10
60,336,0
60,565,3
60,21,2
61,119,8
61,434,5
61,974,3
61,309,6
62,11,6
62,742,4
62,141,8
62,809,5
63,226,9
63,818,0
63,927,3
64,177,9
64,338,10
64,533,0
64,327,9
64,484,5
65,611,10
65,26,8
65,991,2
65,645,10
66,711,4
67,769,2
68,203,0
68,599,8
69,744,0
69,232,0
69,9,8
70,8,10
70,670,7
70,922,3
70,675,10
71,946,1
71,300,3
71,314,7
72,129,9
72,474,6
72,752,7
73,517,2
73,970,9
74,886,5
74,564,5
74,734,10
74,99,5
74,904,10
75,634,9
76,830,2
76,890,7
76,642,6
77,918,9
77,861,8
77,548,1
77,488,6
77,971,1
78,184,4
78,860,8
78,472,1
78,2,10
78,619,1
79,826,9
79,893,9
79,842,5
80,48,7
80,502,7
81,916,7
82,798,8
82,676,9
82,47,2
82,479,10
83,193,4
84,581,2
84,760,4
84,206,0
84,258,1
84,94,0
85,342,1
85,33,10
86,934,2
86,812,7
86,59,7
86,277,2
86,985,10
87,951,6
87,934,3
87,581,1
87,569,6
88,445,3
89,206,9
89,201,1
89,560,1
89,568,3
89,947,5
90,538,7
91,524,5
91,593,6
91,477,1
92,310,1
92,766,0
92,692,5
92,1000,7
93,256,7
93,924,6
93,888,10
94,354,7
94,455,0
95,572,8
95,75,3
95,124,6
96,245,6
96,147,0
96,800,0
97,362,3
98,929,8
99,742,1
99,270,5
99,308,8
100,746,8
100,565,0
100,194,3
101,925,8
101,531,7
101,140,10
102,846,7
102,124,9
102,738,9
102,760,4
103,603,3
104,777,2
104,913,2
104,141,5
104,623,6
104,186,2
105,731,8
106,673,8
106,121,8
106,241,6
106,299,3
107,616,0
108,887,1
108,369,3
108,223,7
109,999,5
109,84,8
109,739,1
109,666,9
109,54,3
110,486,5
110,270,2
110,382,6
111,315,3
112,103,7
112,601,3
113,721,4
113,289,7
113,299,1
113,419,10
113,927,4
114,404,4
114,700,2
114,827,0
114,797,5
115,288,5
115,250,4
116,64,4
116,175,10
116,888,1
116,100,9
116,350,1
117,323,4
117,294,7
118,380,3
118,672,6
118,755,8
118,823,6
118,602,7
119,872,8
119,151,6
119,184,2
119,4,3
120,597,3
120,877,6
120,765,0
120,575,3
121,210,2
121,974,7
121,818,9
121,274,10
122,852,10
123,487,2
124,545,9
124,183,8
124,226,6
124,873,4
125,181,6
125,970,6
125,666,2
125,347,7
126,824,5
126,405,9
126,181,9
126,487,10
126,549,8
127,990,10
127,689,8
127,244,4
128,933,2
129,575,4
129,256,8
129,983,8
130,737,5
130,240,0
130,173,8
131,847,1
132,594,3
132,309,4
132,858,2
132,393,10
133,792,7
133,782,4
133,661,9
133,103,1
133,178,2
134,322,2
134,170,8
