1,28,5
1,87,5
1,61,4
1,94,5
1,44,9
2,3,9
2,81,7
2,45,5
2,2,2
3,48,5
3,76,1
3,74,6
3,100,9
4,27,7
4,66,7
5,24,1
6,11,6
6,99,7
6,98,1
6,5,5
6,90,6
7,13,1
7,50,2
8,35,9
8,33,5
9,24,1
9,89,1
9,95,7
9,46,6
10,32,7
10,25,0
11,77,10
11,53,1
11,27,0
11,12,9
12,20,10
12,9,3
12,56,4
13,43,3
13,55,3
13,22,0
13,99,2
13,86,1
14,22,1
14,64,10
14,54,0
15,18,6
15,30,4
15,46,7
16,31,7
16,57,9
16,86,8
17,19,8
17,85,4
17,59,3
17,40,0
17,56,0
18,69,8
18,33,2
19,92,2
19,63,6
19,44,8
20,36,6
21,60,4
21,19,9
22,67,1
22,29,8
22,26,3
22,48,0
23,25,9
23,76,3
23,56,3
24,28,6
24,92,6
25,10,4
25,56,2
26,18,1
26,90,4
26,7,8
26,2,6
26,24,10
27,13,5
28,42,5
29,23,10
29,52,0
29,79,4
29,44,8
30,26,2
30,48,10
30,43,10
31,41,8
32,19,5
33,13,4
33,26,7
34,41,10
35,7,5
36,25,9
37,75,0
37,73,7
37,86,3
37,2,6
38,46,10
38,44,8
38,58,0
39,51,1
40,73,0
40,18,4
40,47,10
41,98,9
42,26,10
42,59,3
42,99,0
43,35,1
43,16,2
43,50,3
43,63,0
44,59,10
44,79,2
44,33,3
45,80,6
45,98,8
46,41,7
46,94,0
46,10,0
46,38,6
47,44,9
48,97,3
48,68,5
48,79,5
48,90,9
49,36,6
50,43,1
50,11,0
51,78,7
51,1,10
51,57,6
51,2,4
52,56,5
52,19,2
52,34,10
52,71,7
52,65,4
53,69,8
53,58,2
54,40,4
54,17,0
54,32,2
54,7,5
55,65,7
55,77,4
55,75,4
56,21,6
57,3,6
57,71,7
57,41,2
57,47,7
57,89,6
58,70,6
58,72,6
59,1,0
59,17,0
59,86,8
59,31,5
59,62,4
60,24,0
60,15,1
60,28,9
60,42,1
60,20,7
61,32,2
61,45,7
62,18,0
62,69,3
62,20,8
62,94,8
62,99,8
63,20,1
63,26,9
63,5,8
64,18,10
64,10,6
64,100,2
64,84,7
64,50,10
65,33,6
66,3,10
66,28,2
67,28,6
67,74,7
67,30,2
68,34,1
68,80,10
68,47,6
69,83,3
69,18,8
69,56,5
70,17,9
70,45,10
70,67,3
71,92,3
72,14,3
72,61,3
73,43,7
74,78,5
74,6,4
74,34,8
74,40,2
75,74,2
75,13,8
75,54,0
76,29,0
76,52,3
77,11,2
77,43,9
78,46,3
78,58,0
78,74,7
79,2,2
79,64,4
80,76,3
81,47,9
81,68,6
81,69,4
82,4,9
82,12,1
83,97,3
83,27,8
83,14,3
84,70,9
84,51,2
84,12,6
84,48,3
85,3,2
85,16,1
85,23,3
85,32,7
86,10,9
86,60,7
87,83,0
87,31,7
88,80,9
88,34,2
88,63,4
88,33,9
89,60,8
89,22,5
90,15,1
90,28,3
90,97,0
90,33,7
91,7,8
91,20,3
91,18,0
92,93,1
92,97,10
92,74,0
93,15,2
93,91,9
93,47,2
93,5,5
93,2,1
94,98,4
94,99,9
94,31,3
94,18,1
94,19,6
95,73,7
95,40,6
95,100,6
95,54,8
95,69,4
96,8,8
97,51,8
97,37,1
98,8,5
98,61,4
98,13,10
99,35,0
99,24,6
100,84,1
100,66,9
100,10,6
